dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
tolokers,ResNet,1,512,3e-05,0,230,roc_auc,0.739322953233928,0.7832964658737183,0.4549325704574585,0.739322953233928,,,,,roc_auc,0.7366529125916995,0.783599853515625,0.4617941081523895,0.7366529125916995,,,,,roc_auc,0.7219355039869425,0.7823129296302795,0.4693879187107086,0.7219355039869425,,,,
dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
tolokers,ResNet,1,512,3e-05,1,460,roc_auc,0.7275188292778227,0.7817656397819519,0.4597148597240448,0.7275188292778227,,,,,roc_auc,0.7470102198343808,0.7822388410568237,0.4508277177810669,0.7470102198343808,,,,,roc_auc,0.7293007057471077,0.7826530933380127,0.46025213599205017,0.7293007057471077,,,,
tolokers,ResNet,1,512,3e-05,2,270,roc_auc,0.7269218819848768,0.7817656397819519,0.4640354812145233,0.7269218819848768,,,,,roc_auc,0.7300491236359636,0.781898558139801,0.46668246388435364,0.7300491236359636,,,,,roc_auc,0.7406365822644098,0.781632661819458,0.4539555013179779,0.7406365822644098,,,,
tolokers,ResNet,1,512,3e-05,3,1680,roc_auc,0.738241155852763,0.7826160788536072,0.450307160615921,0.738241155852763,,,,,roc_auc,0.7338752819042265,0.7842803597450256,0.457204133272171,0.7338752819042265,,,,,roc_auc,0.7333154388619116,0.7833333611488342,0.4599831700325012,0.7333154388619116,,,,
tolokers,ResNet,1,512,3e-05,4,850,roc_auc,0.7441660273225489,0.7834665775299072,0.44602328538894653,0.7441660273225489,,,,,roc_auc,0.7352564598667498,0.7812180519104004,0.4535861909389496,0.7352564598667498,,,,,roc_auc,0.7363768168988881,0.7823129296302795,0.4630945920944214,0.7363768168988881,,,,
tolokers,ResNet,1,512,3e-05,5,400,roc_auc,0.7390028572068158,0.7853376865386963,0.4554602801799774,0.7390028572068158,,,,,roc_auc,0.7295589734816548,0.7791765928268433,0.45613858103752136,0.7295589734816548,,,,,roc_auc,0.7159852533287784,0.7812924981117249,0.46473729610443115,0.7159852533287784,,,,
tolokers,ResNet,1,512,3e-05,7,440,roc_auc,0.739026260254096,0.7831264138221741,0.45097100734710693,0.739026260254096,,,,,roc_auc,0.7547409468180294,0.7853010892868042,0.4485620856285095,0.7547409468180294,,,,,roc_auc,0.711114771343902,0.7778911590576172,0.47178390622138977,0.711114771343902,,,,
tolokers,ResNet,1,512,3e-05,6,4880,roc_auc,0.7631206301592697,0.7836366891860962,0.44044336676597595,0.7631206301592697,,,,,roc_auc,0.7447648297576812,0.7842803597450256,0.45583483576774597,0.7447648297576812,,,,,roc_auc,0.7410812327664039,0.7795918583869934,0.45592549443244934,0.7410812327664039,,,,
tolokers,ResNet,1,512,3e-05,9,490,roc_auc,0.7407586793083822,0.7838068008422852,0.4505671560764313,0.7407586793083822,,,,,roc_auc,0.7168649670268796,0.7808778285980225,0.46153509616851807,0.7168649670268796,,,,,roc_auc,0.7335296302622624,0.7829931974411011,0.4513006806373596,0.7335296302622624,,,,
